,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
2017-05-31,16000.080078125,16000.080078125,16073.1103515625,15983.3095703125,16046.58984375,0.0,16000.08
2017-06-30,16132.8701171875,16132.8701171875,16133.009765625,16020.76953125,16038.3603515625,0.0,16132.87
2017-07-31,16750.169921875,16750.169921875,16861.0,16714.390625,16861.0,0.0,16750.17
2017-08-31,17616.439453125,17616.439453125,17622.390625,17521.220703125,17613.41015625,0.0,17616.44
2017-09-30,18538.26953125,18538.26953125,18574.359375,18440.580078125,18448.779296875,0.0,18538.27
2017-10-31,19874.119140625,19874.119140625,19882.650390625,19802.48046875,19857.669921875,0.0,19874.12
2017-11-30,19690.30078125,19690.30078125,19796.390625,19687.390625,19773.439453125,0.0,19694.09
2017-12-31,19974.380859375,19974.380859375,19981.5,19840.01953125,19842.5,0.0,19974.38
2018-01-31,21068.890625,21068.890625,21165.8203125,21034.2109375,21136.98046875,0.0,21068.89
2018-02-28,20831.779296875,20831.779296875,20874.080078125,20804.529296875,20821.0703125,0.0,20831.78
2018-03-31,20562.759765625,20562.759765625,20669.26953125,20532.279296875,20621.5703125,0.0,20558.84
2018-04-30,21431.16015625,21431.16015625,21500.140625,21382.2890625,21412.619140625,0.0,21428.86
2018-05-31,20842.169921875,20842.169921875,20881.849609375,20772.55078125,20796.5,0.0,20814.29
2018-06-30,19800.7890625,19800.7890625,19998.130859375,19795.94921875,19992.490234375,0.0,19800.26
2018-07-31,20482.609375,20482.609375,20516.6796875,20355.0703125,20408.7890625,0.0,20485.72
2018-08-31,19443.109375,19443.109375,20498.83984375,19416.439453125,19724.259765625,0.0,19443.11
2018-09-30,19564.0703125,19564.0703125,19629.189453125,19521.390625,19529.94921875,0.0,19564.07
2018-10-31,18909.400390625,18909.400390625,18909.400390625,18641.900390625,18646.890625,0.0,18909.4
